"name","source","product_name_zh","local_version","clawhub_slug","skillhub_slug","git_url","origin","launch_date","last_updated","featured","notes","first_author","last_author"
"Google全家桶","gog","Google Workspace 全家桶（邮件、日历、文档等）","1.0.0","gog","gog","","","","2026-04-05","","","Laurent","Laurent"
"Himalaya邮件","himalaya","终端邮件管理（收发、搜索、多账户）","1.0.0","himalaya","himalaya","","","","2026-04-05","","","Laurent","Laurent"
"IMAP/SMTP邮件","imap-smtp-email","通过 IMAP/SMTP 收发邮件，支持多账户和附件","0.0.13","imap-smtp-email","imap-smtp-email","","","2026-04-15","2026-04-15","","","Laurent","Laurent"
"iMessage","imsg","iMessage/短信收发与历史查看","1.0.0","imsg","imsg","","","","2026-04-05","","","Laurent","Laurent"
"Impeccable（前端设计工具集）","impeccable","高品质 UI/UX 设计工具集：帮助生成独特、生产级的前端界面，涵盖视觉风格、布局排版、动效交互、质量保障、设计系统等全方位设计能力，避免泛 AI 审美","2.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"Infographic Maker","infographic-maker","把文章、概念和数据提炼成手绘卡通信息图","","","","","","2026-04-15","2026-04-15","","来源为用户级现有 skill，无公开仓库与版本号。","",""
"iOS 应用开发","ios-application-dev","iOS 应用开发指南","","","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"Joplin笔记管理","note-organizer","基于 Joplin 的个人笔记管理与知识库工具","1.0.0","","note-organizer","","","","2026-04-05","","","Laurent","Laurent"
"macOS界面自动化","peekaboo","截取和自动化 macOS 界面操作","1.0.0","peekaboo","peekaboo","","","","2026-04-05","","","Laurent","Laurent"
"MBTI人格诊断","agent-mbti","基于 MBTI 框架的 AI Agent 人格诊断与配置系统","0.1.1","agent-mbti","agent-mbti","","","","2026-04-05","","","Laurent","Laurent"
"MCP开发指南","mcp-builder","MCP 服务器开发指南，集成外部 API 和服务","1.0.0","","","https://github.com/anthropics/skills/tree/main/skills/mcp-builder","开源迁移","","2026-04-05","","","Laurent","Laurent"
"MCP管理器","mcporter","管理和调用 MCP 服务器与工具","1.0.0","mcporter","mcporter","","","","2026-04-05","","","Laurent","Laurent"
"MigraQ","migraq","腾讯云迁移服务专家，支持跨云资源扫描、选型推荐、TCO 分析与迁移方案规划","1.1.1","migraq","","https://git.woa.com/msp/ai/skills/cloud-migration-skill","腾讯生态","2026-04-08","2026-04-16","","","王新超","王新超"
"NeoData金融搜索服务","neodata-financial-search","全球多市场金融数据搜索服务，自然语言查询股票、基金、宏观、外汇、大宗商品等全品类金融数据","1.0.0","","","","","","2026-04-05","1","","Laurent","Laurent"
"NotebookLM Studio","notebooklm-studio","NotebookLM 学习工作室：导入多种来源，生成播客、测验、抽认卡、思维导图等学习产物","2.1.3","notebooklm-studio","notebooklm-studio","","","","2026-04-05","","","Laurent","Laurent"
"obsidian","obsidian","Obsidian 知识库管理与自动化","1.0.0","obsidian","obsidian","","","","2026-04-05","","","Laurent","Laurent"
"OpenClaw记忆迁移","openclaw-assets-to-workbuddy","将 OpenClaw 资产迁移到 WorkBuddy（身份、记忆、技能、MCP、Bot 配置）","1.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"openLesson","open-lesson","苏格拉底式 AI 辅导：生成学习计划、音频对话式教学、诊断推理差距","1.0.2","open-lesson","open-lesson","","","","2026-04-05","","","Laurent","Laurent"
"PDF 文档生成","minimax-pdf","高质量 PDF 文档生成","1.0.0","minimax-pdf","","","开源迁移","","2026-04-05","","仅 GitHub 发布，不上传平台","Laurent","Laurent"
"PPT 演示文稿","pptx-generator","PowerPoint 演示文稿生成","1.0.2","pptx-generator","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"QQ邮箱","qq-email","QQ邮箱收发邮件（IMAP/SMTP），支持发信、收信、查看正文","1.0.0","qq-email","qq-email","","腾讯生态","","2026-04-05","","","Laurent","Laurent"
"React Native 开发","react-native-dev","React Native 跨平台开发指南","","","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"药品说明书检索","sino-drug-instructions-search","药品说明书与用药信息检索","1.0.0","",""," ","腾讯生态","2026-04-16","2026-04-16","","依赖 sinohealth_skills_sdk 和 SKILLS_BIZ_TOKEN","Laurent","Laurent"
"skill-vetter","skill-vetter","安装前审查技能的安全性","1.0.0","skill-vetter","skill-vetter","","","","2026-04-05","","","Laurent","Laurent"
"Skill安全审计（云鼎实验室）","skills-security-check","腾讯云鼎出品，Skill 安全审计工具","1.0.0","skills-security-check","","","腾讯生态","2026-04-09","2026-04-09","","腾讯云鼎实验室内部工具，不上传平台","Laurent","Laurent"
"Skill安全扫描（朱雀实验室）","skill-scanner","朱雀实验室出品，Skill 安全风险扫描","1.0.0","skill-scanner","","","腾讯生态","","2026-04-05","","腾讯内部工具，不上传平台","Laurent","Laurent"
"skyline渲染引擎","skyline","微信小程序 Skyline 渲染引擎（组件、动画、路由、样式）","1.0.0","","","","腾讯生态","","2026-04-05","","","吴佳敏","吴佳敏"
"TAPD","tapd-openapi","TAPD 项目管理平台操作（需求、缺陷、任务、迭代、Wiki、评论、工时、附件）","1.0","tapd-skill","tapd-skill","https://cnb.cool/tapd.cn/skills/tapd-skill","腾讯生态","2026-03-19","2026-04-05","1","","王新超","王新超"
"TDesign 微信小程序组件","tdesign-miniprogram","TDesign 微信小程序组件库（60+ 组件、主题定制、AI 聊天）","1.0.0","","","","腾讯生态","","2026-04-05","","","吴佳敏","吴佳敏"
"tencentmap-jsapi-gl-skill","tencentmap-jsapi-gl-skill","腾讯地图 JSAPI GL 开发指南（地图、覆盖物、服务与可视化）","1.0.0","tencentmap-jsapi-gl-skill","","https://git.woa.com/lbs-ai/tmap-lbs-plugin/tree/main/skills/TencentMap_jsapi_gl_skill","腾讯生态","2026-03-18","2026-04-05","1","","王新超","王新超"
"tencentmap-lbs-skill","tencentmap-lbs-skill","腾讯地图位置服务，支持POI搜索、路径规划、旅游规划、周边搜索，轨迹数据可视化和地图数据可视化","1.0.0","tencentmap-lbs-skill","tencentmap-lbs-skill","https://git.woa.com/lbs-ai/tmap-lbs-plugin/tree/main/skills/TencentMap_lbs_skill","腾讯生态","2026-03-18","2026-04-05","1","","王新超","王新超"
"tencentmap-miniprogram-skill","tencentmap-miniprogram-skill","微信小程序地图开发指南（组件、定位、标记、路线、搜索与可视化）","1.0.0","","","https://git.woa.com/lbs-ai/tmap-lbs-plugin/tree/main/skills/TencentMap_miniprogram_skill","腾讯生态","2026-03-18","2026-04-05","1","","王新超","王新超"
"tencentmap-webservice-skill","tencentmap-webservice-skill","腾讯位置服务 WebService API（地理编码、搜索、路线、天气、定位）","1.0.0","","","https://git.woa.com/lbs-ai/tmap-lbs-plugin/tree/main/skills/TencentMap_webservice_skill","腾讯生态","2026-03-18","2026-04-05","1","","王新超","王新超"
"Things任务","things-mac","管理 Things 3 任务和项目","1.0.0","things-mac","things-mac","","","","2026-04-05","","","Laurent","Laurent"
"tmux","tmux","远程控制 tmux 交互式终端会话","1.0.0","tmux","tmux","","","","2026-04-05","","","Laurent","Laurent"
"trello","trello","管理 Trello 看板、列表和卡片","1.0.0","trello","trello","","","","2026-04-05","","","Laurent","Laurent"
"tutor-skills","tutor-skills","将文档/代码转为 Obsidian 学习库，自动出题、测验并跟踪掌握度","1.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"Twitter分析","xurl","Twitter 研究与内容情报分析","1.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"wechat-article-search","wechat-article-search","搜索微信公众号文章（标题、摘要、发布时间、来源账号、链接）","0.1.0","wechat-article-search","wechat-article-search","","腾讯生态","","2026-04-05","","","Laurent","Laurent"
"WhatsApp","wacli","发送 WhatsApp 消息和同步历史","","","","","","","2026-04-05","","","Laurent","Laurent"
"Word 文档生成","minimax-docx","Word 文档生成与编辑","1.0.0","minimax-docx","","","开源迁移","","2026-04-05","","仅 GitHub 发布，不上传平台","Laurent","Laurent"
"ZenStudio","zenstudio","ZenStudio AI 内容创作（生图、生视频、画布、素材管理）","1.3.7","zenstudio","","","腾讯生态","2026-04-10","2026-04-16","1","","Laurent","王新超"
"习惯打卡","habit-tracker","通过打卡、连续记录和可视化培养良好习惯","1.0.0","habit-tracker","habit-tracker","","","","2026-04-05","","","Laurent","Laurent"
"健康打卡","healthcheck","追踪每日饮水和睡眠记录","1.0.2","healthcheck","healthcheck","","","","2026-04-05","","","Laurent","Laurent"
"全栈开发","fullstack-dev","全栈应用架构与开发指南","","","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"内容分发","content-repurposer","将长文内容转化为多平台优化的社交媒体片段","1.1.0","content-repurposer","content-repurposer","","","","2026-04-05","","","Laurent","Laurent"
"内容工厂","content-factory","多智能体内容生产系统，一份素材生成多种格式","1.0.0","content-factory","content-factory","","","","2026-04-05","","","Laurent","Laurent"
"内容总结","summarize","总结网页、PDF、音频和视频内容","1.0.0","","summarize","","","","2026-04-05","","","Laurent","Laurent"
"创业验证","idea-validator","创业想法验证，评估问题-方案匹配度与市场机会","1.0.0","","","https://github.com/shipshitdev/skills/tree/master/skills/idea-validator","开源迁移","","2026-04-05","","","Laurent","Laurent"
"前端开发","frontend-dev","前端开发与 AI 媒体生成","0.1.1","frontend-dev","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"博客监控","blogwatcher","监控博客和 RSS 订阅源更新","1.0.0","blogwatcher","blogwatcher","","","","2026-04-05","","","Laurent","Laurent"
"去AI味","humanizer","去除文本中的 AI 写作痕迹","2.1.1","humanizer","humanizer","","","","2026-04-05","","","Laurent","Laurent"
"反蒸馏","anti-distill","反蒸馏防御：清洗 Skill 文件，看起来完整但核心知识已脱敏","1.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"同事.skill","colleague-skill","把同事蒸馏成 AI Skill，采集飞书/钉钉数据生成人格与工作模型","1.0.0","colleague-skill","","","","","2026-04-05","","","Laurent","Laurent"
"品牌设计规范","brand-guidelines","应用 Anthropic 品牌配色和排版到设计产物","1.0.0","","","https://github.com/anthropics/skills/tree/main/skills/brand-guidelines","开源迁移","","2026-04-05","","","Laurent","Laurent"
"多引擎搜索","multi-search-engine","集成 17 个搜索引擎（8 国内 + 9 国际），无需 API","2.1.3","multi-search-engine","multi-search-engine","","","2026-04-12","2026-04-12","","","Laurent","Laurent"
"天气查询","weather","查询天气预报，无需 API 密钥","1.0.0","weather","weather","","","","2026-04-05","","","Laurent","Laurent"
"学术引用管理","citation-manager","学术引用管理，为论文添加真实参考文献并规范引用标注","1.0.0","academic-citation-manager","","","","","2026-04-05","","","Laurent","Laurent"
"宏观数据监控","macro-monitor","每日自动采集宏观经济数据和政策信息并推送","1.0.2","macro-monitor","macro-monitor","","","","2026-04-05","","","Laurent","Laurent"
"市场调研","market-researcher","市场调研专家，提供市场分析、消费者洞察与机会评估","1.0.0","","","https://github.com/404kidwiz/claude-supercode-skills/tree/main/market-researcher-skill","开源迁移","","2026-04-05","","","Laurent","Laurent"
"微信小程序开发框架","wechat-miniprogram","微信小程序开发框架（模板、组件、API、云开发）","1.0.0","","","","腾讯生态","","2026-04-05","","","吴佳敏","吴佳敏"
"微信支付商品券","wechatpay-product-coupon","微信支付商品券接入助手（选型、代码示例、排障）","1.0.0","wechatpay-product-coupon","wechatpay-product-coupon","https://github.com/wechatpay-apiv3/wechatpay-skills","腾讯生态","2026-03-23","2026-04-05","","","王新超","王新超"
"批量绘图","openai-image-gen","批量生成图片并创建图库","1.0.1","openai-image-gen","openai-image-gen","","","","2026-04-05","","","Laurent","Laurent"
"技能创建指南","skill-creator","创建和维护自定义技能的指南","0.1.0","skill-creator","skill-creator","","","","2026-04-05","","","Laurent","Laurent"
"文字转语音","sag","文字转语音（ElevenLabs）","1.0.0","sag","sag","","","","2026-04-05","","","Laurent","Laurent"
"新闻摘要","news-summary","从国际 RSS 源获取新闻并生成摘要和语音播报","1.0.1","news-summary","news-summary","","","","2026-04-05","","","Laurent","Laurent"
"智能体邮箱","agent-mail","AI 智能体专属邮箱，收发邮件","","","","","","","2026-04-05","","","Laurent","Laurent"
"本地语音转文字","openai-whisper","本地语音转文字（无需 API 密钥）","1.0.0","openai-whisper","openai-whisper","","","","2026-04-05","","","Laurent","Laurent"
"浏览器自动化","browser-use","浏览器自动化（导航、点击、截图、数据提取、多会话、云浏览器）","2.0.0","","","https://github.com/browser-use/browser-use/tree/main/skills/browser-use","开源迁移","2026-04-15","2026-04-15","","","Laurent","Laurent"
"Web Access（浏览器自动化）","web-access","CDP 直连本地 Chrome，智能调度联网工具，支持登录态、并行批量操作","2.4.3","","","https://github.com/eze-is/web-access","开源迁移","2026-04-09","2026-04-15","","","Laurent","Laurent"
"滴滴打车","didi-ride-skill","滴滴打车：叫车、路线规划、订单查询","1.1.1","didi-ride-skill-official","","","腾讯生态","","2026-04-05","","","Laurent","Laurent"
"笔记搜索","qmd","本地 Markdown 笔记搜索引擎","1.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"老板.skill","boss-skills","蒸馏老板或生成企业家原型 Skill，模拟管理风格与决策模式","1.1.0","","","","","","2026-04-05","","","Laurent","Laurent"
"腾讯ima","ima-skills","ima笔记与知识库管理（读取、写入、检索）","1.1.2","","ima-skills","","腾讯生态","2026-03-20","2026-04-05","1","","Laurent","Laurent"
"腾讯乐享","lexiang-knowledge-base","专为智能体打造的安全知识库，深度解析图文与音视频，为Agent注入全模态、高质量的知识。","2.0.0","","","","腾讯生态","","2026-04-05","1","","Laurent","Laurent"
"腾讯云CloudBase","cloudbase","帮你从 0 创建，或继续完善网页、小程序和简单工具，支持发布上线、内容保存、用户登录和数据同步。","2.15.4","cloudbase","cloudbase","https://github.com/TencentCloudBase/cloudbase-skills","腾讯生态","","2026-04-05","","","王新超","王新超"
"腾讯云COS","tencentcloud-cos","腾讯云 COS 对象存储与数据万象图片处理","1.1.3","tencentcloud-cos","tencentcloud-cos","","腾讯生态","","2026-04-08","1","","Laurent","王新超"
"腾讯云COS向量","cos-vectors","腾讯云 COS 向量桶管理（索引、存储、相似度搜索）","1.0.1","cos-vectors-skill","cos-vectors-skill","","腾讯生态","2026-04-09","2026-04-09","1","","Laurent","Laurent"
"腾讯微云","weiyun","管理腾讯微云网盘文件（列表、上传、下载、删除、分享）","1.0.2","tencent-drive-mcp","","","腾讯生态","2026-04-07","2026-04-07","","","王新超","王新超"
"腾讯会议","tencent-meeting-skill","腾讯会议管理（预约、录制、转写、纪要）","1.0.5","tencent-meeting-skill","tencent-meeting-skill","","腾讯生态","2026-03-19","2026-04-05","1","","Laurent","Laurent"
"腾讯技术公益智能助手","tencent-ssv-techforgood","公益机构数字化赋能助手，匹配免费工具与申领指引","1.3.13","","","","腾讯生态","","2026-04-16","1","","Laurent","Laurent"
"公益文书助手","charity-writing-assistant","面向公益从业者的一站式文书工作台。分步引导采集项目信息，自动适配各平台规范，生成可直接提交的专业文书；也可将已有材料一键标准化归档。覆盖腾讯公益、字节跳动公益、支付宝公益、微博微公益、京东公益、美团公益等平台。","6.6.2","","","https://git.woa.com/ssv-wb-skills/charity/tree/master/skills/公益文书助手","腾讯生态","2026-04-13","2026-04-13","","","Laurent","Laurent"
"公益财会助手","charity-finance-assistant","公益票据与财务整理助手。适用于基金会、社会组织、社会服务机构等公益机构的财务和票据管理需求，涵盖捐赠票据开具、日常收支整理、审计准备、费用报销、税前扣除咨询及数据核对等场景。","1.0.0","","","https://git.woa.com/ssv-wb-skills/charity/tree/master/skills/公益财会助手","腾讯生态","2026-04-13","2026-04-13","","","Laurent","Laurent"
"腾讯文档","tencent-docs","","1.0.27","tencent-docs","tencent-docs","","腾讯生态","2026-03-20","2026-04-12","1","","Laurent","Laurent"
"腾讯新闻","tencent-news","7×24 新闻搜索工具，聚焦国内外热点，支持热榜、早晚报、实时资讯及领域新闻查询。","1.0.9","tencent-news","tencent-news","https://git.woa.com/qqnews_web/agent-skills/tree/main/src/skills/tencent-news","腾讯生态","2026-03-27","2026-04-15","1","","王新超","王新超"
"腾讯问卷","tencent-survey","腾讯问卷操作（创建、修改、逻辑设置、统计）","1.1.1","","","https://git.woa.com/ur/mcp-skill","腾讯生态","2026-03-28","2026-04-15","1","","王新超","王新超"
"自己.skill","yourself-skill","把自己蒸馏成 AI Skill，解构聊天记录与日记生成数字分身","1.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"视频截帧","video-frames","从视频提取帧或短片段","1.0.0","video-frames","video-frames","","","","2026-04-05","","","Laurent","Laurent"
"语音转文字API","openai-whisper-api","通过 OpenAI API 转录音频","1.0.0","openai-whisper-api","openai-whisper-api","","","","2026-04-05","","","Laurent","Laurent"
"财报追踪","earnings-tracker","AI 驱动的 A 股/美股财报追踪与智能分析推送","1.1.0","","earnings-tracker","","","","2026-04-05","","","Laurent","Laurent"
"轻量PDF编辑器","nano-pdf","用自然语言编辑 PDF 文件","1.0.0","nano-pdf","nano-pdf","","","","2026-04-05","","","Laurent","Laurent"
"邮件管理","email-skill","邮件管理与自动化，支持多邮件服务商收发搜索","0.1.0","email-skill","email-skill","","","","2026-04-05","","","Laurent","Laurent"
"音频可视化","songsee","从音频生成频谱图和可视化","1.0.0","songsee","songsee","","","","2026-04-05","","","Laurent","Laurent"
"飞书套件","lark-unified","飞书/Lark 全能套件（消息、文档、表格、日历、任务、Wiki 等 11 个业务域）","1.0.0","","","","","","2026-04-05","1","","Laurent","Laurent"
"autoresearch","autoresearch","Karpathy 风格内容优化","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/autoresearch","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"content-ops","content-ops","内容质量专家评审","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/content-ops","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"conversion-ops","conversion-ops","CRO 审计与转化优化","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/conversion-ops","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"deck-generator","deck-generator","AI 演示文稿生成","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/deck-generator","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"finance-ops","finance-ops","AI CFO 财务分析","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/finance-ops","开源迁移","2026-04-05","2026-04-08","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"growth-engine","growth-engine","营销增长实验引擎","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/growth-engine","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"outbound-engine","outbound-engine","冷启动外拓邮件引擎","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/outbound-engine","开源迁移","2026-04-05","2026-04-08","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"podcast-ops","podcast-ops","播客内容拆解流水线","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/podcast-ops","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"revenue-intelligence","revenue-intelligence","收入归因与销售洞察","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/revenue-intelligence","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"sales-pipeline","sales-pipeline","销售管道自动化","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/sales-pipeline","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"sales-playbook","sales-playbook","价值定价销售剧本","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/sales-playbook","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"seo-ops","seo-ops","SEO 运营自动化","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/seo-ops","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"team-ops","team-ops","团队绩效审计","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/team-ops","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"x-longform-post","x-longform-post","X 长文撰写","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/x-longform-post","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"yt-competitive-analysis","yt-competitive-analysis","YouTube 竞品分析","1.0.0","","","https://github.com/ericosiu/ai-marketing-skills/tree/main/yt-competitive-analysis","开源迁移","2026-04-05","2026-04-05","","MIT License, by ericosiu/Single Grain","Laurent","Laurent"
"API Gateway","api-gateway","连接 100+ API 服务（Google、Microsoft、GitHub 等），通过 OAuth 管理授权","1.0.84","api-gateway","","","","2026-04-05","2026-04-15","","","Laurent","王新超"
"AdMapix","admapix","广告素材搜索与应用分析","1.0.28","admapix","","","","2026-04-05","2026-04-05","","","Laurent","Laurent"
"Remotion 视频创作","remotion-video-toolkit","程序化视频创作（Remotion + React）","1.4.0","remotion-video-toolkit","","","","2026-04-05","2026-04-05","","","Laurent","Laurent"
"CalDAV 日历","caldav-calendar","CalDAV 日历同步（iCloud、Google 等）","1.0.1","caldav-calendar","","","","2026-04-05","2026-04-05","","仅支持 Linux","Laurent","Laurent"
"Perplexity 搜索","perplexity","Perplexity AI 联网搜索","1.0.0","perplexity","","","","2026-04-05","2026-04-05","","","Laurent","Laurent"
"Exa 网络搜索","web-search-exa","Exa 神经网络语义搜索","2.0.0","web-search-exa","","","","2026-04-05","2026-04-05","","","Laurent","Laurent"
"提示词工程专家","prompt-engineering-expert","提示词工程专家","1.0.0","prompt-engineering-expert","","","","2026-04-05","2026-04-05","","","Laurent","Laurent"
"营销技能库","marketing-skills","23个营销模块（CRO、SEO、文案等）","0.1.2","marketing-skills","","","","2026-04-05","2026-04-05","","","Laurent","Laurent"
"模型用量统计","model-usage","CodexBar 模型用量与费用统计","1.0.0","model-usage","","","","2026-04-05","2026-04-05","","仅支持 macOS","Laurent","Laurent"
"金融科技工程师","fintech-engineer","金融科技工程专家","1.0.1","fintech-engineer","","","","2026-04-05","2026-04-05","","","Laurent","Laurent"
"Agent Team Orchestration","agent-team-orchestration","多智能体团队编排","1.0.0","agent-team-orchestration","","","开源迁移","2026-04-06","2026-04-06","","","Laurent","Laurent"
"微信支付基础支付","wechatpay-basic-payment","微信支付基础支付接入助手","1.0.0","wechatpay-basic-payment","","https://github.com/wechatpay-apiv3/wechatpay-skills","腾讯生态","2026-04-08","2026-04-08","","","Laurent","Laurent"
"Karpathy LLM Wiki","llm-wiki","个人知识库 Wiki","","","","https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f","开源迁移","2026-04-08","2026-04-09","","Based on Karpathy's LLM Wiki gist","Vernon","Vernon"
"Agent Browser Core","agent-browser-core","agent-browser CLI 网页自动化","1.0.1","agent-browser-core","","","开源迁移","2026-04-09","2026-04-09","","clawhub 来源","Laurent","Laurent"
